plot,logger,serial,start,end
mof_cst_00001,treetalker_logger,tt_52030125,*,*
mof_cst_00002,treetalker_logger,tt_52030105,*,*
mof_cst_00003,treetalker_logger,tt_52030123,*,*
mof_cst_00004,treetalker_logger,tt_52030118,*,*
mof_cst_00005,treetalker_logger,tt_52030127,*,*
mof_cst_00006,treetalker_logger,tt_52030154,*,*
mof_cst_00007,treetalker_logger,tt_52030164,*,*
mof_cst_00008,treetalker_logger,tt_52030134,*,*
mof_cst_00009,treetalker_logger,tt_52030108,*,*
mof_cst_00010,treetalker_logger,tt_52030149,*,*
mof_cst_00011,treetalker_logger,tt_52030155,*,*
mof_cst_00012,treetalker_logger,tt_52030157,*,*
mof_cst_00013,treetalker_logger,tt_52030093,*,*
mof_cst_00014,treetalker_logger,tt_52030111,*,*
mof_cst_00015,treetalker_logger,tt_52030109,*,*
mof_cst_00016,treetalker_logger,tt_52030139,*,*
mof_cst_00017,treetalker_logger,tt_52030104,*,*
mof_cst_00018,treetalker_logger,tt_52030117,*,*
mof_cst_00019,treetalker_logger,tt_52030102,*,*
mof_cst_00020,treetalker_logger,tt_52030103,*,*
mof_cst_00021,treetalker_logger,tt_52030133,*,*
mof_cst_00022,treetalker_logger,tt_52030150,*,*
mof_cst_00023,treetalker_logger,tt_52030115,*,*
mof_cst_00024,treetalker_logger,tt_52030130,*,*
mof_cst_00025,treetalker_logger,tt_52030119,*,*
mof_cst_00026,treetalker_logger,tt_52030143,*,*
mof_cst_00027,treetalker_logger,tt_52030163,*,*
mof_cst_00028,treetalker_logger,tt_52030129,*,*
mof_cst_00029,treetalker_logger,tt_52030147,*,*
mof_cst_00030,treetalker_logger,tt_52030095,*,*
mof_cst_00031,treetalker_logger,tt_52030092,*,*
mof_cst_00032,treetalker_logger,tt_52030116,*,*
mof_cst_00033,treetalker_logger,tt_52030120,*,*
mof_cst_00034,treetalker_logger,tt_52030124,*,*
mof_cst_00035,treetalker_logger,tt_52030106,*,*
mof_cst_00036,treetalker_logger,tt_52030162,*,*
mof_cst_00037,treetalker_logger,tt_52030121,*,*
mof_cst_00038,treetalker_logger,tt_52030159,*,*
mof_cst_00039,treetalker_logger,tt_52030107,*,*
mof_cst_00040,treetalker_logger,tt_52030099,*,*
mof_cst_00041,treetalker_logger,tt_52030135,*,*
mof_cst_00042,treetalker_logger,tt_52030098,*,*
mof_cst_00043,treetalker_logger,tt_52030114,*,*
mof_cst_00044,treetalker_logger,tt_52030115,*,*
mof_cst_00045,treetalker_logger,tt_52030122,*,*
mof_cst_00046,treetalker_logger,tt_52030100,*,*
mof_cst_00047,treetalker_logger,tt_52030101,*,*
mof_cst_00048,treetalker_logger,tt_52030110,*,*
mof_cst_00049,treetalker_logger,tt_52030096,*,*
mof_cst_00050,treetalker_logger,tt_52030126,*,*
mof_cst_00051,treetalker_logger,tt_52030138,*,*
