plot,general,lat,lon,focal,is_station,logger,alternative_id,elevation,comment
CaldernWald,ca_stations,50.8411,8.68477,Y,Y,ca_logger,,,
CaldernWiese,ca_stations,50.8405,8.6832,Y,Y,ca_logger,,,
demo_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_cst_00000_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_moon,influx_stations,,,Y,Y,ca_logger,,,
lahnberge_moon,influx_stations,,,Y,Y,ca_logger,,,
ltf_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00050_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00075_moon,influx_stations,,,Y,Y,ca_logger,,,
mrc_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
office_planet,influx_stations,,,Y,Y,ca_logger,,,
office2_planet,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00001_planet,manual_stations,,,Y,Y,ca_logger,,,
mof_cst_00002_planet,manual_stations,,,Y,Y,ca_logger,,,
mof_cst_00001,treetalker_nature40,50.839331,8.683791,,,treetalker_logger,,296,
mof_cst_00002,treetalker_nature40,50.839637,8.684064,,,treetalker_logger,,288,
mof_cst_00003,treetalker_nature40,50.841624,8.671258,,,treetalker_logger,,313,
mof_cst_00004,treetalker_nature40,50.836657,8.677561,,,treetalker_logger,,373,
mof_cst_00005,treetalker_nature40,50.837189,8.676461,,,treetalker_logger,,376,
mof_cst_00006,treetalker_nature40,50.837261,8.68283,,,treetalker_logger,,340,
mof_cst_00007,treetalker_nature40,50.840418,8.674968,,,treetalker_logger,,324,
mof_cst_00008,treetalker_nature40,50.842646,8.683666,,,treetalker_logger,,268,
mof_cst_00009,treetalker_nature40,50.838526,8.678573,,,treetalker_logger,,336,
mof_cst_00010,treetalker_nature40,50.840333,8.670984,,,treetalker_logger,,336,
mof_cst_00011,treetalker_nature40,50.839932,8.673632,,,treetalker_logger,,344,
mof_cst_00012,treetalker_nature40,50.837692,8.683135,,,treetalker_logger,,328,
mof_cst_00013,treetalker_nature40,50.843528,8.681269,,,treetalker_logger,,279,
mof_cst_00014,treetalker_nature40,50.835974,8.675686,,,treetalker_logger,,398,
mof_cst_00015,treetalker_nature40,50.838304,8.680451,,,treetalker_logger,,322,
mof_cst_00016,treetalker_nature40,50.837304,8.675308,,,treetalker_logger,,389,
mof_cst_00017,treetalker_nature40,50.843567,8.682352,,,treetalker_logger,,265,
mof_cst_00018,treetalker_nature40,50.842531,8.6759,,,treetalker_logger,,295,
mof_cst_00019,treetalker_nature40,50.839916,8.670019,,,treetalker_logger,,339,
mof_cst_00020,treetalker_nature40,50.83648,8.680377,,,treetalker_logger,,366,
mof_cst_00021,treetalker_nature40,50.840576,8.667796,,,treetalker_logger,,308,
mof_cst_00022,treetalker_nature40,50.843297,8.67867,,,treetalker_logger,,305,
mof_cst_00023,treetalker_nature40,50.842585,8.678079,,,treetalker_logger,,306,
